id;singer;song;ganre;year
1;Air;Sexy Boy;Electro;2020
2;Alanis Morissette;Thank U;Pop;2020
3;Audioslave;Like a Stone;Pop;2020
4;Beastie Boys;Intergalactic;Rap/Hip Hop;2020
5;Beck;Loser;Other;2020
6;Björk;Big Time Sensuality;Pop;2020
7;Björk;Army of Me;Pop;2020
8;Björk;Hyperballad;Other;2020
9;Blind Melon;No Rain;Rock;2020
10;Blur;Coffee and TV (Radio Edit);Rock;2020
11;Bon Jovi;I'll Sleep When I'm Dead (Album Version);Other;2020
12;The Breeders;Cannonball;Alternative;2020
13;Bryan Adams, Sting, Rod Stewart;"All For Love (From ""The Three Musketeers"" Soundtrack)";Other;2020
14;The Cardigans, Nina Persson, Peter Svensson, Magnus Sveningsson, Lars Olof Johansson, Bengt Lagerberg;Erase / Rewind;Pop;2020
15;The Cardigans, Nina Persson, Peter Svensson, Lars Olof Johansson;Carnival;Pop;2020
16;The Cardigans, Nina Persson, Peter Svensson, Lars Olof Johansson, Bengt Lagerberg, Magnus Sveningsson;Lovefool;Pop;2020
17;The Cardigans;Carnival;Pop;2020
18;The Chemical Brothers, Tom Rowlands, Edmund Simons;Hey Boy Hey Girl;Dance;2020
19;Chilled Jazz Masters;Tears in Heaven;Electro, Jazz;2020
20;Chumbawamba;Tubthumping;Pop;2020
21;Coldplay;Clocks;Rock;2020
22;Coldplay;The Scientist;Rock;2020
23;Collective Soul;Shine;Other;2020
24;The Cranberries, Dolores O'Riordan, Noel Hogan, Mike Hogan, Fergal Lawler;Ode To My Family;Rock;2020
25;The Cult;She Sells Sanctuary;Alternative;2020
26;Daft Punk;Around the World;Dance;2020
27;The Devlins;Someone To Talk To;Alternative, Rock, Indie Rock/Rock Pop;2020
28;Duncan Sheik;Barely Breathing (45 Version);Pop;2020
29;Enigma;Return To Innocence;Pop;2020
30;Foo Fighters;Learn to Fly;Alternative, Pop, International Pop, Rock;2020
31;Fools Garden;Lemon Tree (Album Edit);Pop;2020
32;The Goo Goo Dolls;Iris;Pop;2020
33;Green Day;American Idiot;Alternative, Indie Pop, Indie Rock, Pop, Indie Pop/Folk, Rock, Indie Rock/Rock Pop;2020
34;James, Tim Booth, Saul Davies, Adrian Oxaal, Jim Glennie, David Baynton-Power, Michael Kulas, Mark Hunter;Destiny Calling;Rock;2020
35;James, Tim Booth, Jim Glennie, Saul Davies, David Baynton-Power, Mark Hunter, Larry Gott;Laid;Rock;2020
36;Jane's Addiction;Jane Says (Live);Alternative, Rock, Indie Rock/Rock Pop;2020
37;Jesus Jones;The Right Decision;Rock;2020
38;Jon Secada;Just Another Day;Pop;2020
39;Keane;The Frog Prince;Pop, Rock;2020
40;"Kelly Clarkson, Lukasz ""Doctor Luke"" Gottwald, Max Martin";Since U Been Gone;Pop, Rock;2020
41;Lenny Kravitz, Phenix Horns, Al Brown;It Ain't Over 'Til It's Over;Rock;2020
42;Madonna;Ray of Light;Pop;2020
43;Meat Puppets;Backwater;Rock;2020
44;Mr. Big;Wild World (Remastered Version);Other;2020
45;Nirvana;All Apologies;Rock;2020
